#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
-----------------------------------------------
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources
-----------------------------------------------
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-12-09;Mali;32763;742;0;2.26;0.00;97.74
2022-12-09;Moldavie;595402;11920;0;2.00;0.00;98.00
2022-12-09;Lituanie;1280029;9442;0;0.74;0.00;99.26
2022-12-09;Liban;1221049;10741;0;0.88;0.00;99.12
2022-12-09;Kenya;342093;5684;0;1.66;0.00;98.34
2022-12-09;Islande;207101;219;0;0.11;0.00;99.89
2022-12-09;Israël;4736095;11906;0;0.25;0.00;99.75
2022-12-09;Honduras;458921;11051;0;2.41;0.00;97.59
2022-12-09;Guatemala;1168635;19961;0;1.71;0.00;98.29
2022-12-09;Gambie;12586;372;0;2.96;0.00;97.04
2022-12-09;Géorgie;1807654;16888;0;0.93;0.00;99.07
2022-12-09;Érythrée;10189;103;0;1.01;0.00;98.99
2022-12-09;République Dominicaine;650990;4384;0;0.67;0.00;99.33
2022-12-09;Chypre;622102;1242;0;0.20;0.00;99.80
2022-12-09;Costa Rica;1148914;9046;0;0.79;0.00;99.21
2022-12-09;Côte d'Ivoire;87892;830;0;0.94;0.00;99.06
2022-12-09;Canada;4463034;48474;0;1.09;0.00;98.91
2022-12-09;Bahamas;37491;833;0;2.22;0.00;97.78
2022-12-09;Bénin;27980;163;0;0.58;0.00;99.42
2022-12-09;Bangladesh;2036760;29436;0;1.45;0.00;98.55
2022-12-09;Australie;10856941;16462;0;0.15;0.00;99.85
2022-12-09;Émirats Arabes Unis;1045285;2348;0;0.22;0.00;99.78
2022-12-09;Zambie;333746;4019;0;1.20;0.00;98.80
2022-12-09;St-Vincent / Grenadines;9482;116;0;1.22;0.00;98.78
2022-12-09;Ouganda;169810;3630;0;2.14;0.00;97.86
2022-12-09;Turquie;16919638;101203;0;0.60;0.00;99.40
2022-12-09;Tadjikistan;17786;125;0;0.70;0.00;99.30
2022-12-09;Eswatini;73908;1422;0;1.92;0.00;98.08
2022-12-09;Somalie;27300;1361;0;4.99;0.00;95.01
2022-12-09;Slovénie;1273067;6947;0;0.55;0.00;99.45
2022-12-09;Îles Salomon;24575;153;0;0.62;0.00;99.38
2022-12-09;Réunion;482906;905;0;0.19;0.00;99.81
2022-12-09;Papouasie-Nouvelle-Guinée;46427;668;0;1.44;0.00;98.56
2022-12-09;Nigéria;266283;3155;0;1.18;0.00;98.82
2022-12-09;Malaisie;5008452;36748;0;0.73;0.00;99.27
2022-12-09;Birmanie;633400;19488;0;3.08;0.00;96.92
2022-12-09;Montenegro;284026;2790;0;0.98;0.00;99.02
2022-12-09;Luxembourg;308572;1168;0;0.38;0.00;99.62
2022-12-09;Sainte-Lucie;29723;409;0;1.38;0.00;98.62
2022-12-09;Corée du Sud;27674163;31029;0;0.11;0.00;99.89
2022-12-09;Kirghizistan;206543;2991;0;1.45;0.00;98.55
2022-12-09;Italie;24709404;182419;0;0.74;0.00;99.26
2022-12-09;Croatie;1256445;17389;0;1.38;0.00;98.62
2022-12-09;Guinée;38153;464;0;1.22;0.00;98.78
2022-12-09;Guyane Française;96389;411;0;0.43;0.00;99.57
2022-12-09;Îles Féroé;34658;28;0;0.08;0.00;99.92
2022-12-09;Espagne;13632635;116422;0;0.85;0.00;99.15
2022-12-09;Algérie;271140;6881;0;2.54;0.00;97.46
2022-12-09;République Tchèque;4566217;41949;0;0.92;0.00;99.08
2022-12-09;Bhoutan;62512;21;0;0.03;0.00;99.97
2022-12-09;Saint Barthélemy;5348;6;0;0.11;0.00;99.89
2022-12-09;Belgique;4648042;33100;0;0.71;0.00;99.29
2022-12-09;Angola;104808;1925;0;1.84;0.00;98.16
2022-12-09;Afghanistan;206504;7839;0;3.80;0.00;96.20
2022-12-09;Zimbabwe;259356;5622;0;2.17;0.00;97.83
2022-12-09;Samoa;15970;29;0;0.18;0.00;99.82
2022-12-09;Venezuela;548150;5829;0;1.06;0.00;98.94
2022-12-09;Trinité-et-Tobago;185528;4268;0;2.30;0.00;97.70
2022-12-09;Suriname;81581;1393;0;1.71;0.00;98.29
2022-12-09;Seychelles;50068;171;0;0.34;0.00;99.66
2022-12-09;Roumanie;3298738;67289;0;2.04;0.00;97.96
2022-12-09;Palestine;703036;5708;0;0.81;0.00;99.19
2022-12-09;Philippines;4046849;64845;0;1.60;0.00;98.40
2022-12-09;Nouvelle-Zélande;1986192;2236;0;0.11;0.00;99.89
2022-12-09;Nicaragua;15263;245;0;1.61;0.00;98.39
2022-12-09;Mozambique;230624;2226;0;0.97;0.00;99.03
2022-12-09;Malte;115941;809;0;0.70;0.00;99.30
2022-12-09;Mongolie;993997;2135;0;0.21;0.00;99.79
2022-12-09;Saint Martin;12058;63;0;0.52;0.00;99.48
2022-12-09;Lettonie;967729;6108;0;0.63;0.00;99.37
2022-12-09;Liechtenstein;21077;88;0;0.42;0.00;99.58
2022-12-09;Koweït;662747;2570;0;0.39;0.00;99.61
2022-12-09;Cambodge;138202;3056;0;2.21;0.00;97.79
2022-12-09;Inde;44675872;530654;0;1.19;0.00;98.81
2022-12-09;Haïti;33874;860;0;2.54;0.00;97.46
2022-12-09;Guinée-Bissau;8848;176;0;1.99;0.00;98.01
2022-12-09;Guadeloupe;197918;995;0;0.50;0.00;99.50
2022-12-09;France;37382532;156051;0;0.42;0.00;99.58
2022-12-09;Éthiopie;495105;7572;0;1.53;0.00;98.47
2022-12-09;Équateur;1018179;35940;0;3.53;0.00;96.47
2022-12-09;Allemagne;36755666;158971;0;0.43;0.00;99.57
2022-12-09;Cuba;1111518;8530;0;0.77;0.00;99.23
2022-12-09;Chili;4953194;62683;0;1.27;0.00;98.73
2022-12-09;Rép. Dém. du Congo;94452;1456;0;1.54;0.00;98.46
2022-12-09;Burkina Faso;21631;387;0;1.79;0.00;98.21
2022-12-09;Antarctique;11;0;0;0.00;0.00;100.00
2022-12-09;Antigua-et-Barbuda;9106;146;0;1.60;0.00;98.40
2022-12-09;Autres;721;15;0;2.08;0.00;97.92
2022-12-09;Kosovo;272216;3202;0;1.18;0.00;98.82
2022-12-09;États-Unis;99402420;1084422;0;1.09;0.00;98.91
2022-12-09;Tuvalu;2805;0;0;0.00;0.00;100.00
2022-12-09;Timor-Leste;23364;138;0;0.59;0.00;99.41
2022-12-09;Tchad;7647;194;0;2.54;0.00;97.46
2022-12-09;Soudan du sud;18352;138;0;0.75;0.00;99.25
2022-12-09;Slovaquie;2652388;20752;0;0.78;0.00;99.22
2022-12-09;Soudan;63660;4992;0;7.84;0.00;92.16
2022-12-09;Serbie;2428978;17429;0;0.72;0.00;99.28
2022-12-09;Portugal;5549479;25584;0;0.46;0.00;99.54
2022-12-09;Pakistan;1575424;30635;0;1.94;0.00;98.06
2022-12-09;Oman;399119;4628;0;1.16;0.00;98.84
2022-12-09;Pays-Bas;8662418;23641;0;0.27;0.00;99.73
2022-12-09;Namibie;169946;4080;0;2.40;0.00;97.60
2022-12-09;Maurice;281163;1036;0;0.37;0.00;99.63
2022-12-09;Macao;878;6;0;0.68;0.00;99.32
2022-12-09;Madagascar;67488;1413;0;2.09;0.00;97.91
2022-12-09;Libye;507100;6437;0;1.27;0.00;98.73
2022-12-09;Sri Lanka;671745;16808;0;2.50;0.00;97.50
2022-12-09;Kiribati;3430;13;0;0.38;0.00;99.62
2022-12-09;Jamaïque;152669;3433;0;2.25;0.00;97.75
2022-12-09;Hongrie;2171056;48337;0;2.23;0.00;97.77
2022-12-09;Guyana;71728;1285;0;1.79;0.00;98.21
2022-12-09;Guinée Équatoriale;17184;183;0;1.06;0.00;98.94
2022-12-09;Ghana;171023;1461;0;0.85;0.00;99.15
2022-12-09;Gabon;48973;306;0;0.62;0.00;99.38
2022-12-09;Finlande;1417909;7572;0;0.53;0.00;99.47
2022-12-09;Estonie;609827;2799;0;0.46;0.00;99.54
2022-12-09;Djibouti;15690;189;0;1.20;0.00;98.80
2022-12-09;Cap-vert;63107;412;0;0.65;0.00;99.35
2022-12-09;Cameroun;123993;1965;0;1.58;0.00;98.42
2022-12-09;République Centrafricaine;15311;113;0;0.74;0.00;99.26
2022-12-09;Botswana;326800;2793;0;0.85;0.00;99.15
2022-12-09;Brunéi Darussalam;261440;225;0;0.09;0.00;99.91
2022-12-09;Bulgarie;1288785;38060;0;2.95;0.00;97.05
2022-12-09;Azerbaïdjan;824749;9984;0;1.21;0.00;98.79
2022-12-09;Argentine;9739856;130034;0;1.34;0.00;98.66
2022-12-09;Yémen;11945;2159;0;18.07;0.00;81.93
2022-12-09;Uruguay;995402;7541;0;0.76;0.00;99.24
2022-12-09;Taïwan;8441828;14617;0;0.17;0.00;99.83
2022-12-09;Sao Tomé-et-Principe;6279;77;0;1.23;0.00;98.77
2022-12-09;Sierra Leone;7760;126;0;1.62;0.00;98.38
2022-12-09;Suède;2640369;21234;0;0.80;0.00;99.20
2022-12-09;Russie;21343842;384597;0;1.80;0.00;98.20
2022-12-09;Palaos;5896;7;0;0.12;0.00;99.88
2022-12-09;Pologne;6356979;118371;0;1.86;0.00;98.14
2022-12-09;Panama;1009252;8533;0;0.85;0.00;99.15
2022-12-09;Norvège;1470650;4498;0;0.31;0.00;99.69
2022-12-09;Nouvelle-Calédonie;77263;314;0;0.41;0.00;99.59
2022-12-09;Maldives;185632;311;0;0.17;0.00;99.83
2022-12-09;Îles Marshall;15547;17;0;0.11;0.00;99.89
2022-12-09;Maroc;1270007;16287;0;1.28;0.00;98.72
2022-12-09;Libéria;8035;294;0;3.66;0.00;96.34
2022-12-09;Kazakhstan;1488306;19054;0;1.28;0.00;98.72
2022-12-09;Comores;8977;161;0;1.79;0.00;98.21
2022-12-09;Jordanie;1746997;14122;0;0.81;0.00;99.19
2022-12-09;Iraq;2464375;25366;0;1.03;0.00;98.97
2022-12-09;Indonésie;6695010;160175;0;2.39;0.00;97.61
2022-12-09;Hong-Kong;2217714;10914;0;0.49;0.00;99.51
2022-12-09;Grèce;5448700;34482;0;0.63;0.00;99.37
2022-12-09;Gibraltar;20207;110;0;0.54;0.00;99.46
2022-12-09;Royaume-Uni;24261291;213398;0;0.88;0.00;99.12
2022-12-09;Fidji;68553;878;0;1.28;0.00;98.72
2022-12-09;Égypte;515645;24799;0;4.81;0.00;95.19
2022-12-09;Danemark;3377223;7600;0;0.23;0.00;99.77
2022-12-09;Chine;1851983;5235;0;0.28;0.00;99.72
2022-12-09;Congo (Brazzaville);25375;386;0;1.52;0.00;98.48
2022-12-09;Bélarus;994037;7118;0;0.72;0.00;99.28
2022-12-09;Bolivie;1116117;22253;0;1.99;0.00;98.01
2022-12-09;Bahreïn;697223;1536;0;0.22;0.00;99.78
2022-12-09;Bosnie-Herzégovine;400661;16212;0;4.05;0.00;95.95
2022-12-09;Albanie;333491;3594;0;1.08;0.00;98.92
2022-12-08;Albanie;333490;3594;0;1.08;0.00;98.92
2022-12-08;Bosnie-Herzégovine;400636;16212;0;4.05;0.00;95.95
2022-12-08;Bahreïn;696958;1536;0;0.22;0.00;99.78
2022-12-08;Bolivie;1114914;22252;0;2.00;0.00;98.00
2022-12-08;Bélarus;994037;7118;0;0.72;0.00;99.28
2022-12-08;Congo (Brazzaville);25375;386;0;1.52;0.00;98.48
2022-12-08;Chine;1835148;5235;0;0.29;0.00;99.71
2022-12-08;Danemark;3375586;7594;0;0.22;0.00;99.78
2022-12-08;Égypte;515645;24799;0;4.81;0.00;95.19
2022-12-08;Fidji;68451;878;0;1.28;0.00;98.72
2022-12-08;Royaume-Uni;24260824;213398;0;0.88;0.00;99.12
2022-12-08;Gibraltar;20207;110;0;0.54;0.00;99.46
